table,index,addr,region,hypothesis,bundle_score,landing_score,template_score,prev_delta,next_delta,mod8,mod16,prop_addr,prop_size,prop_flags,phase8_rank,phase8_score,phase8,phase16_rank,phase16_score,phase16,repeat8,repeat16,control_vote_exact,control_vote_near,pcrel_slot_exact,pcrel_slot_near,evidence
C,0,0x70017cc8,flk_dense,likely_landing_pad_or_slot_target,4,8,0,,-0x1324,0,8,0x70017cc8,0x0,data|unreachable|no_transform,2,285,6,4,70,6,1,1,,0x70017cd0:1:j:1,,0x70017cd0:0x700174be:anchor_adjacent_landing,prop=0x0:data|unreachable|no_transform;best_prop=0x70017cc8:0xb:insn|data|no_reorder|no_transform;zero_size_unreachable_marker;aligns_top8_phase_rank_2;aligns_top16_phase_rank_4;control_vote_near:0x70017cd0:j:1;pcrel_slot_near:0x70017cd0:0x700174be:anchor_adjacent_landing
C,1,0x700169a4,flk_dense,candidate_bundle_start,7,0,0,-0x1324,0x1392,4,4,0x700169a4,0x8,insn|data|no_reorder|no_transform,5,274,2,3,79,2,1,1,,,,,prop=0x8:insn|data|no_reorder|no_transform;explicit_insn_prop_ge_8;aligns_top16_phase_rank_3;special_c1_control_anchor
C,2,0x70017d36,flk_dense,likely_landing_pad_or_slot_target,2,7,0,0x1392,-0xb,6,6,0x70017d36,0x0,data|unreachable|no_transform,4,276,4,11,58,4,1,1,,,,,prop=0x0:data|unreachable|no_transform;best_prop=0x70017d36:0xb:insn|data|no_reorder|no_transform;zero_size_unreachable_marker;abc_minus_0xb_stride;aligns_top8_phase_rank_4
C,3,0x70017d2b,flk_dense,likely_landing_pad_or_slot_target,2,7,0,-0xb,-0xb,3,11,0x70017d2b,0x0,data|unreachable|no_transform,1,306,1,13,57,9,1,1,,,,,prop=0x0:data|unreachable|no_transform;best_prop=0x70017d2b:0xb:insn|data|no_reorder|no_transform;zero_size_unreachable_marker;abc_minus_0xb_stride;aligns_top8_phase_rank_1
C,4,0x70017d20,flk_dense,likely_landing_pad_or_slot_target,2,7,0,-0xb,-0xb,0,0,0x70017d20,0x0,data|unreachable|no_transform,2,285,6,15,53,14,1,1,,,,,prop=0x0:data|unreachable|no_transform;best_prop=0x70017d20:0xb:insn|data|no_reorder|no_transform;zero_size_unreachable_marker;abc_minus_0xb_stride;aligns_top8_phase_rank_2
C,5,0x70017d15,flk_dense,likely_landing_pad_or_slot_target,0,7,0,-0xb,-0xb,5,5,0x70017d15,0x0,data|unreachable|no_transform,7,267,3,6,66,3,1,1,,,,,prop=0x0:data|unreachable|no_transform;best_prop=0x70017d15:0xb:insn|data|no_reorder|no_transform;zero_size_unreachable_marker;abc_minus_0xb_stride
C,6,0x70017d0a,flk_dense,likely_landing_pad_or_slot_target,2,7,0,-0xb,-0xb,2,10,0x70017d0a,0x0,data|unreachable|no_transform,3,278,0,12,58,8,1,1,,,,,prop=0x0:data|unreachable|no_transform;best_prop=0x70017d0a:0xb:insn|data|no_reorder|no_transform;zero_size_unreachable_marker;abc_minus_0xb_stride;aligns_top8_phase_rank_3
C,7,0x70017cff,flk_dense,likely_landing_pad_or_slot_target,0,12,0,-0xb,-0xb,7,15,0x70017cff,0x0,data|unreachable|no_transform,6,274,5,14,53,13,1,1,,0x70017d00:1:j:1,,0x70017d00:0x700174ee:anchor_adjacent_landing,prop=0x0:data|unreachable|no_transform;best_prop=0x70017cff:0xb:insn|data|no_reorder|no_transform;zero_size_unreachable_marker;abc_minus_0xb_stride;control_vote_near:0x70017d00:j:1;pcrel_slot_near:0x70017d00:0x700174ee:anchor_adjacent_landing
C,8,0x70017cf4,flk_dense,likely_landing_pad_or_slot_target,2,12,0,-0xb,-0xb,4,4,0x70017cf4,0x0,data|unreachable|no_transform,5,274,2,3,79,2,1,1,,0x70017cf0:1:j:1,,0x70017cf0:0x700174de:near_anchor_landing,prop=0x0:data|unreachable|no_transform;best_prop=0x70017cf4:0xb:insn|data|no_reorder|no_transform;zero_size_unreachable_marker;abc_minus_0xb_stride;aligns_top16_phase_rank_3;control_vote_near:0x70017cf0:j:1;pcrel_slot_near:0x70017cf0:0x700174de:near_anchor_landing
C,9,0x70017ce9,flk_dense,likely_landing_pad_or_slot_target,0,7,0,-0xb,-0xb,1,9,0x70017ce9,0x0,data|unreachable|no_transform,8,258,7,8,65,7,1,1,,,,,prop=0x0:data|unreachable|no_transform;best_prop=0x70017ce9:0xb:insn|data|no_reorder|no_transform;zero_size_unreachable_marker;abc_minus_0xb_stride
